dataset,split,num_experts,points_per_split,nlpd_experts,nlpd_single_gp,nlpd_gpoe,nlpd_phs,nlpd_bhs
yacht,0,2,2,1.458036873569306,2.8663832121313457,0.9452125738088136,0.2774895053075095,0.7734880100298477
yacht,1,2,2,0.8671556152156823,0.2693042163995594,0.4519806378070663,-0.0437713647531879,0.016064330532044
yacht,2,2,2,0.8801828775295436,-0.474917398489785,0.6042638014946813,0.0907415496689087,0.0734002927386919
yacht,3,2,2,-0.6345805474950641,-1.182987938290881,-0.6596045974273583,-0.7526910415120961,-0.6511529717273137
yacht,4,2,2,-0.6038014237836391,-1.204358559394413,-0.893614057122181,-0.920622710869755,-0.7309256923858367
yacht,5,2,2,-0.6407698492983624,-0.5972137792184422,-0.8573076025646279,-0.9023083599506176,-0.8252566380221863
yacht,6,2,2,-0.4633980822893113,-1.1781367548302952,-0.7947340792707882,-0.8747530434165203,-0.8048019656655283
yacht,7,2,2,0.497692876409144,-0.6286442843232641,-0.2427839522420742,-0.5307644245074009,-0.4769866894397938
yacht,8,2,2,-0.4924871041764835,-1.0120056077167745,-0.5786601091896152,-0.6431964863066675,-0.6306906732281314
yacht,9,2,2,-0.2492184879523739,-0.4679293842277315,-0.4764801505396431,-0.5894726444149768,-0.5367537020680876
yacht,0,2,5,1.458036873569306,2.8663832121313457,0.9452125738088136,0.2266277228947093,0.7706915923819637
yacht,1,2,5,0.8671556152156823,0.2693042163995594,0.4519806378070663,-0.1492742890399674,-0.0079832013559749
yacht,2,2,5,0.8801828775295436,-0.474917398489785,0.6042638014946813,0.3210764414805174,0.0716456919763151
yacht,3,2,5,-0.6345805474950641,-1.182987938290881,-0.6596045974273583,-0.8581742515196341,-0.6530327940345575
yacht,4,2,5,-0.6038014237836391,-1.204358559394413,-0.893614057122181,-0.9247429929499762,-0.7301294714961413
yacht,5,2,5,-0.6407698492983624,-0.5972137792184422,-0.8573076025646279,-0.9491815545878453,-0.8548440086452427
yacht,6,2,5,-0.4633980822893113,-1.1781367548302952,-0.7947340792707882,-0.9608403627165142,-0.808879668132237
yacht,7,2,5,0.497692876409144,-0.6286442843232641,-0.2427839522420742,-0.5247298391276058,-0.467458312347058
yacht,8,2,5,-0.4924871041764835,-1.0120056077167745,-0.5786601091896152,-0.7322216144091459,-0.6718631949480467
yacht,9,2,5,-0.2492184879523739,-0.4679293842277315,-0.4764801505396431,-0.6136962001981854,-0.5497910312514721
yacht,0,2,10,1.458036873569306,2.8663832121313457,0.9452125738088136,-0.0310960183517007,0.7670409611284015
yacht,1,2,10,0.8671556152156823,0.2693042163995594,0.4519806378070663,-0.6444385764185021,-0.0471456778806604
yacht,2,2,10,0.8801828775295436,-0.474917398489785,0.6042638014946813,-0.2310442725446479,0.0569930002862841
yacht,3,2,10,-0.6345805474950641,-1.182987938290881,-0.6596045974273583,-0.9683325207438682,-0.6559457349948178
yacht,4,2,10,-0.6038014237836391,-1.204358559394413,-0.893614057122181,-0.9276751799253208,-0.7285755780712678
yacht,5,2,10,-0.6407698492983624,-0.5972137792184422,-0.8573076025646279,-0.999341037616848,-0.9213416214459812
yacht,6,2,10,-0.4633980822893113,-1.1781367548302952,-0.7947340792707882,-0.9814283611152506,-0.8075084552382982
yacht,7,2,10,0.497692876409144,-0.6286442843232641,-0.2427839522420742,-0.5354808984872423,-0.4667462164834894
yacht,8,2,10,-0.4924871041764835,-1.0120056077167745,-0.5786601091896152,-0.8266446473688882,-0.7136595438593912
yacht,9,2,10,-0.2492184879523739,-0.4679293842277315,-0.4764801505396431,-0.6658958793754245,-0.5543692278700106
yacht,0,2,20,1.458036873569306,2.8663832121313457,0.9452125738088136,0.3063978770248461,0.7592341840127348
yacht,1,2,20,0.8671556152156823,0.2693042163995594,0.4519806378070663,-0.5746926984268973,-0.053571129081799
yacht,2,2,20,0.8801828775295436,-0.474917398489785,0.6042638014946813,-0.1090655129960817,0.0528881531849953
yacht,3,2,20,-0.6345805474950641,-1.182987938290881,-0.6596045974273583,-0.953942675679584,-0.6602114421574572
yacht,4,2,20,-0.6038014237836391,-1.204358559394413,-0.893614057122181,-0.945020609145262,-0.7418837563617229
yacht,5,2,20,-0.6407698492983624,-0.5972137792184422,-0.8573076025646279,-1.0443682092430917,-0.9600523641036384
yacht,6,2,20,-0.4633980822893113,-1.1781367548302952,-0.7947340792707882,-1.0528707129758297,-0.8247884172726385
yacht,7,2,20,0.497692876409144,-0.6286442843232641,-0.2427839522420742,-0.3604502649785273,-0.4324273674098464
yacht,8,2,20,-0.4924871041764835,-1.0120056077167745,-0.5786601091896152,-1.0148555579773224,-0.7515302950518242
yacht,9,2,20,-0.2492184879523739,-0.4679293842277315,-0.4764801505396431,-0.6247729106588872,-0.5624256240068143
yacht,0,4,2,2.270309054445206,2.8663832121313457,1.734689911699557,0.9107863754417136,1.0259656436722446
yacht,1,4,2,1.0853514716048425,0.2693042163995594,0.2903088133230375,-0.1142931960012741,-0.1932712710223465
yacht,2,4,2,1.8978706710672584,-0.474917398489785,1.1974247759250425,0.6508264755749047,-0.2495031619189887
yacht,3,4,2,-0.2637566469606691,-1.182987938290881,-0.7068502778262541,-0.7891538829495917,-0.8212011323730792
yacht,4,4,2,-0.3328002515757026,-1.204358559394413,-0.7115510824070508,-0.7930339719066057,-0.6151533990122184
yacht,5,4,2,0.0833023888955743,-0.5972137792184422,-0.3520861362991527,-0.6340816091733285,-0.6215964105611884
