dataset,split,num_experts,points_per_split,nlpd_single_gp,nlpd_experts,nlpd_gpoe,nlpd_phs,nlpd_bhs
yacht,0,2,2,2.8663832121313457,1.4580368782591129,0.9417328076784668,0.19547091,0.7705245
yacht,1,2,2,0.2693042163995594,0.8910301776587279,0.4932462935230821,-0.24735124,0.0662692
yacht,0,2,5,2.8663832121313457,1.4580368782591129,0.9417328076784668,0.2964281,0.77111036
yacht,1,2,5,0.2693042163995594,0.8910301776587279,0.4932462935230821,-0.053952117,0.03297155
yacht,0,4,2,2.8663832121313457,2.1331878348846365,1.4408691924158694,0.8961242,0.3521553
yacht,0,2,10,2.8663832121313457,1.4580368782591129,0.9417328076784668,0.14073998,0.7651997
yacht,1,2,10,0.2693042163995594,0.8910301776587279,0.4932462935230821,-0.4482804,-0.0072287126
yacht,0,6,2,2.8663832121313457,2.7634641480924103,2.2561410416098164,1.0991466,0.27777043
yacht,0,4,5,2.8663832121313457,2.1331878348846365,1.4408691924158694,0.46415678,0.34545907
yacht,1,4,2,0.2693042163995594,0.6999447203095146,-0.0410883175366428,-0.16274053,-0.20317778
yacht,2,2,2,-0.474917398489785,0.899740253331216,0.6262339126911756,0.11941797,0.07221028
yacht,1,6,2,0.2693042163995594,1.8257824404451648,0.3165699658641419,-0.21783389,-0.41137704
yacht,2,2,5,-0.474917398489785,0.899740253331216,0.6262339126911756,0.30037746,0.071980596
yacht,1,4,5,0.2693042163995594,0.6999447203095146,-0.0410883175366428,-0.20445287,-0.21069619
yacht,2,4,2,-0.474917398489785,1.8948106811424703,1.2250331084260615,0.55550474,-0.2520827
yacht,2,2,10,-0.474917398489785,0.899740253331216,0.6262339126911756,-0.181248,0.058571197
yacht,2,6,2,-0.474917398489785,1.875884809060539,1.2383272648809809,0.5393576,-0.17248437
yacht,3,2,2,-1.1729176687342933,-0.7560945755103319,-0.8604110266256391,-1.0374925,-0.8051172
yacht,3,2,5,-1.1729176687342933,-0.7560945755103319,-0.8604110266256391,-1.1773944,-0.82036537
yacht,2,4,5,-0.4614061005294896,1.6498501900902487,1.17602931909617,0.46972325,-0.26628911
yacht,3,4,2,-1.1729176687342933,-0.24330982365340897,-0.7146671427295772,-0.8149115,-0.83749276
yacht,3,2,10,-1.1729176687342933,-0.7560945755103319,-0.8604110266256391,-1.2031196,-0.82106066
yacht,3,4,5,-1.1729176687342933,-0.24330982365340897,-0.7146671427295772,-0.7678154,-0.85845923
yacht,3,6,2,-1.1729176687342933,-0.2900439857076767,-0.5525365266831833,-0.61444354,-0.5398731
yacht,1,6,5,0.25398768917236586,2.224684995253288,0.48349054146264575,-0.29198918,-0.5048944
yacht,0,6,5,2.9600901322794497,3.5737103587570673,3.114444289552779,1.270981,0.34879044
yacht,2,6,5,-0.4614061005294896,2.152693896284356,1.3429859086195424,0.4934792,-0.2837555
yacht,0,4,10,2.9600901322794497,2.3495172550468157,1.7299082145356268,0.6398403,0.5584918
yacht,4,2,2,-1.1623147077393454,-0.6351452983576117,-0.9055278414041366,-0.94028986,-0.80833143
yacht,2,4,10,-0.4614061005294896,1.6498501900902487,1.17602931909617,0.88342613,-0.24031226
yacht,4,2,5,-1.1623147077393454,-0.6351452983576117,-0.9055278414041366,-0.9335956,-0.802531
yacht,4,4,2,-1.1623147077393454,-0.39710532255980574,-0.736428697621404,-0.7860464,-0.62907857
yacht,1,4,10,0.25398768917236586,0.7317623018933296,-0.028813929033631995,-0.27716613,-0.2728236
yacht,4,2,10,-1.1623147077393454,-0.6351452983576117,-0.9055278414041366,-0.9615423,-0.8069087
